id,region,price,year,manufacturer,model,condition,fuel,transmission,drive;,car_age,log_price,year_bin
7316869215,birmingham,13950.0,2011,mazda,mx-5 miata grand touring,excellent,gas,automatic,rwd;,13,9.543306469268108,2011-2015
7316868894,birmingham,19950.0,2009,porsche,boxster,excellent,gas,automatic,rwd;,15,9.901034546375062,2001-2010
7316868562,birmingham,13950.0,2008,mazda,miata,excellent,gas,manual,rwd;,16,9.543306469268108,2001-2010
7316868220,birmingham,10950.0,2009,lexus,rx350,excellent,gas,automatic,4wd;,15,9.301186055275759,2001-2010
7316867506,birmingham,13950.0,2006,lexus,gx470,good,gas,automatic,4wd;,18,9.543306469268108,2001-2010
7316853268,birmingham,1800.0,1998,toyota,rav4,good,gas,manual,;,26,7.496097345175956,<=2000
7316852517,birmingham,21250.0,2002,ford,thunderbird,new,gas,automatic,fwd;,22,9.96415923206886,2001-2010
7316846605,birmingham,4500.0,2008,ford,mustang,,gas,automatic,rwd;,16,8.412054873292933,2001-2010
7316788498,birmingham,39590.0,2020,chevrolet,silverado 1500 crew,good,gas,other,;,4,10.586357098684939,2016-2020
7316788533,birmingham,26990.0,2017,nissan,titan single cab sv,good,gas,other,4wd;,7,10.203258756085228,2016-2020
7316762099,birmingham,4299.0,2007,nissan,sentra,,gas,automatic,fwd;,17,8.366370301681654,2001-2010
7316735728,birmingham,3950.0,2008,kia,spectra ex,excellent,gas,automatic,;,16,8.281723990411392,2001-2010
7316734951,birmingham,5900.0,1998,ford,f150,excellent,gas,automatic,;,26,8.682877107057168,<=2000
7316711193,birmingham,34995.0,2012,dodge,charger limousine,,gas,automatic,;,12,10.462989048226156,2011-2015
7316707537,birmingham,3200.0,2005,ford,focus,good,gas,automatic,;,19,8.071218539969863,2001-2010
7316702941,birmingham,3495.0,1999,ford,windstar,good,gas,automatic,;,25,8.159374736775426,<=2000
7316695553,birmingham,6500.0,2002,ford,sport trac,good,gas,automatic,;,22,8.77971129020447,2001-2010
7316694878,birmingham,16988.0,2008,toyota,fj cruiser,,gas,automatic,4wd;,16,9.740321354781914,2001-2010
7316694884,birmingham,16988.0,2018,nissan,altima,,gas,automatic,fwd;,6,9.740321354781914,2016-2020
7316694885,birmingham,26990.0,2018,nissan,frontier,,gas,automatic,rwd;,6,10.203258756085228,2016-2020
7316694874,birmingham,32186.0,2021,toyota,tacoma,,gas,automatic,rwd;,3,10.379317923304855,2021-2024
7316691449,birmingham,16477.0,2015,buick,enclave,,gas,automatic,fwd;,9,9.709781436875536,2011-2015
7316691442,birmingham,58977.0,2019,gmc,sierra 3500,,gas,automatic,4wd;,5,10.984919771994385,2016-2020
7316686116,birmingham,30990.0,2016,chevrolet,silverado 1500 double,good,gas,other,;,8,10.341452118734878,2016-2020
7316678016,birmingham,6900.0,2009,honda,ridgeline,fair,gas,automatic,4wd;,15,8.839421607620602,2001-2010
7316673788,birmingham,3750.0,1997,ford,f150,,gas,automatic,;,27,8.229777750081887,<=2000
7316643987,birmingham,3500.0,2003,toyota,camry,good,gas,automatic,;,21,8.160803920954665,2001-2010
7316622592,birmingham,25990.0,2016,bmw,5 series,,gas,automatic,;,8,10.165505603232393,2016-2020
7316549537,birmingham,8000.0,2013,kia,optima,excellent,gas,automatic,;,11,8.987321812850125,2011-2015
7316544266,birmingham,32000.0,2008,chevrolet,silverado 2500,good,diesel,automatic,4wd;,16,10.373522431293592,2001-2010
7316535686,birmingham,3399.0,2006,buick,lacrosse,,gas,automatic,fwd;,18,8.131530710604252,2001-2010
7316482063,birmingham,4000.0,2002,toyota,echo,excellent,gas,automatic,fwd;,22,8.294299608857235,2001-2010
7316478418,birmingham,3900.0,2009,hyundai,elantra,,gas,automatic,rwd;,15,8.268988209506656,2001-2010
7316471857,birmingham,3000.0,2004,chevrolet,blazer,good,gas,automatic,4wd;,20,8.006700845440367,2001-2010
7316469500,birmingham,2800.0,2009,nissan,versa,,gas,automatic,;,15,7.937731775260109,2001-2010
7316429417,birmingham,2500.0,1995,bmw,525i,fair,gas,automatic,rwd;,29,7.824445930877619,<=2000
7316422333,birmingham,33590.0,2014,gmc,sierra 1500 crew cab slt,good,gas,other,;,10,10.422013452928306,2011-2015
7316419757,birmingham,12500.0,2008,gmc,yukon xl,excellent,gas,automatic,rwd;,16,9.433563920090563,2001-2010
7316411064,birmingham,15990.0,2017,ford,c-max hybrid se wagon 4d,good,hybrid,other,fwd;,7,9.679781342959442,2016-2020
7316397515,birmingham,2500.0,2008,honda,accord,good,gas,automatic,fwd;,16,7.824445930877619,2001-2010
7316396026,birmingham,20995.0,2011,chevrolet,silverado 1500 ltz crew cab 4wd,,,automatic,4wd;,13,9.95208722237219,2011-2015
